name,n,pct_finite,pct_in_range,pct_saturated,mean_abs,std,tv,pairwise_l2_mean,pairwise_l2_std,pixel_var_mean
samples_L1_N256.pt,256,100.000,86.454,16.600,0.626229,0.712107,1.490650,27.051199,0.636451,0.464841
samples_L10_N256.pt,256,92.188,60.705,63.969,0.873724,0.701565,0.270517,22.813536,3.284047,0.336912
samples_L50_N256.pt,256,100.000,55.623,77.138,0.981817,0.429790,0.160016,15.464295,3.445096,0.160785
samples_dae_N256.pt,256,100.000,81.179,20.215,0.667369,0.741310,1.514738,27.727663,0.668328,0.488695
samples_ncsn_N256.pt,256,100.000,61.554,68.774,0.954691,0.635984,0.250744,21.406101,2.811681,0.295811
